venue,send_time,recv_time,mid_price,depth,seq
ECN_0,2025-10-01 08:00:00.001251,2025-10-01 08:00:00.007639,1.0999991219070542,1218.99821469112,0
ECN_0,2025-10-01 08:00:00.005643,2025-10-01 08:00:00.010445,1.100010079714236,1186.5586383439029,1
ECN_1,2025-10-01 08:00:00.002315,2025-10-01 08:00:00.011909,1.0999988768519586,804.0285334079416,0
ECN_2,2025-10-01 08:00:00.002505,2025-10-01 08:00:00.012077,1.0999960893271779,744.3099428228666,0
ECN_1,2025-10-01 08:00:00.006279,2025-10-01 08:00:00.012917,1.1000020508353467,984.9232113222591,1
ECN_0,2025-10-01 08:00:00.009649,2025-10-01 08:00:00.013576,1.1000078644897875,1289.2010104730255,2
ECN_1,2025-10-01 08:00:00.008913,2025-10-01 08:00:00.019494,1.100006607832402,901.1714991740754,2
ECN_2,2025-10-01 08:00:00.009783,2025-10-01 08:00:00.021910,1.1000291238714102,793.4028757669032,2
ECN_2,2025-10-01 08:00:00.005677,2025-10-01 08:00:00.027516,1.1000010194322352,759.8939065321923,1
ECN_0,2025-10-01 08:00:00.027694,2025-10-01 08:00:00.032150,1.0999844292347918,1232.8842418464303,3
ECN_2,2025-10-01 08:00:00.023214,2025-10-01 08:00:00.037330,1.0999830696632882,691.8242991276529,3
ECN_1,2025-10-01 08:00:00.026733,2025-10-01 08:00:00.038464,1.099994070573971,911.1934333207986,3
ECN_0,2025-10-01 08:00:00.040215,2025-10-01 08:00:00.040431,1.0999811647073776,1308.2028653115603,5
ECN_0,2025-10-01 08:00:00.036086,2025-10-01 08:00:00.041520,1.099988906819847,1241.4648897715545,4
ECN_1,2025-10-01 08:00:00.038132,2025-10-01 08:00:00.046430,1.0999953700294467,1071.7369337788193,4
ECN_0,2025-10-01 08:00:00.044342,2025-10-01 08:00:00.048598,1.0999986865869338,1184.4539806427601,6
ECN_1,2025-10-01 08:00:00.040613,2025-10-01 08:00:00.049957,1.099980319581727,978.8977763590826,5
ECN_2,2025-10-01 08:00:00.039170,2025-10-01 08:00:00.050498,1.099973209419568,798.387181243077,4
ECN_2,2025-10-01 08:00:00.039770,2025-10-01 08:00:00.053982,1.0999776330565703,666.7536845236627,5
ECN_1,2025-10-01 08:00:00.047388,2025-10-01 08:00:00.058344,1.100008702729805,987.1128939848419,6
ECN_1,2025-10-01 08:00:00.056323,2025-10-01 08:00:00.059358,1.1000147489752308,946.6891209459653,7
